step,agent_id,agent_profile,agent_type,problem_id,problem_title,problem_category,problem_difficulty,agent_skill_before,solved,time_taken,agent_skill_after,recommender_reward,interleaving_factor,total_attempts_recommender,agent_skill_Arrays_and_Hashing,agent_skill_Two_Pointers,agent_skill_Stack,agent_skill_Sliding_Window,agent_skill_Binary_Search,agent_skill_Linked_List,agent_skill_Tree,agent_skill_Tries,agent_skill_Heap_/_Priority_Queue,agent_skill_Backtracking,agent_skill_Intervals,agent_skill_Greedy,agent_skill_Graph,agent_skill_Graph2,agent_skill_1DDP,agent_skill_2DDP,agent_skill_Bit_Manipulation,agent_skill_Math,recommender_reward_Arrays_and_Hashing,recommender_reward_Two_Pointers,recommender_reward_Stack,recommender_reward_Sliding_Window,recommender_reward_Binary_Search,recommender_reward_Linked_List,recommender_reward_Tree,recommender_reward_Tries,recommender_reward_Heap_/_Priority_Queue,recommender_reward_Backtracking,recommender_reward_Intervals,recommender_reward_Greedy,recommender_reward_Graph,recommender_reward_Graph2,recommender_reward_1DDP,recommender_reward_2DDP,recommender_reward_Bit_Manipulation,recommender_reward_Math
1,0,Expert,random_baseline,88,Jump Game II,Greedy,Medium,0.6,True,26.47,0.65,0.805,0.7,1000,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
2,0,Expert,random_baseline,76,Word Search,Backtracking,Medium,0.6,False,38.68,0.6,0.8372,0.7,1000,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
3,0,Expert,random_baseline,84,Meeting Rooms II,Intervals,Medium,0.6,True,33.63,0.65,0.9069,0.7,1000,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.65,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
4,0,Expert,random_baseline,41,Add Two Numbers,Linked List,Medium,0.6,False,37.57,0.6,0.7982,0.7,1000,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.65,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
5,0,Expert,random_baseline,95,Max Area of Island,Graph,Medium,0.6,False,35.37,0.6,0.7694,0.7,1000,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.65,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
6,0,Expert,random_baseline,148,"Pow x, n",Math,Medium,0.6,False,34.07,0.6,0.8151,0.7,1000,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.65,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
7,0,Expert,random_baseline,126,Longest Common Subsequence,2DDP,Medium,0.6,True,34.03,0.65,0.6896,0.7,1000,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.65,0.65,0.6,0.6,0.6,0.65,0.6,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
8,0,Expert,random_baseline,98,Rotting Oranges,Graph,Medium,0.6,False,30.72,0.6,0.7694,0.7,1000,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.65,0.65,0.6,0.6,0.6,0.65,0.6,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
9,0,Expert,random_baseline,40,Copy List With Random Pointer,Linked List,Medium,0.6,True,31.73,0.65,0.7982,0.7,1000,0.6,0.6,0.6,0.6,0.6,0.65,0.6,0.6,0.6,0.6,0.65,0.65,0.6,0.6,0.6,0.65,0.6,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
10,0,Expert,random_baseline,24,Koko Eating Bananas,Binary Search,Medium,0.6,False,31.53,0.6,0.8653,0.7,1000,0.6,0.6,0.6,0.6,0.6,0.65,0.6,0.6,0.6,0.6,0.65,0.65,0.6,0.6,0.6,0.65,0.6,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
11,0,Expert,random_baseline,23,Search A 2D Matrix,Binary Search,Medium,0.6,False,27.21,0.6,0.8653,0.7,1000,0.6,0.6,0.6,0.6,0.6,0.65,0.6,0.6,0.6,0.6,0.65,0.65,0.6,0.6,0.6,0.65,0.6,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
12,0,Expert,random_baseline,63,Word Search II,Tries,Hard,0.6,True,40.62,0.65,0.8315,0.7,1000,0.6,0.6,0.6,0.6,0.6,0.65,0.6,0.65,0.6,0.6,0.65,0.65,0.6,0.6,0.6,0.65,0.6,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
13,0,Expert,random_baseline,16,Min Stack,Stack,Medium,0.6,True,27.71,0.65,0.8696,0.7,1000,0.6,0.6,0.65,0.6,0.6,0.65,0.6,0.65,0.6,0.6,0.65,0.65,0.6,0.6,0.6,0.65,0.6,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
14,0,Expert,random_baseline,108,Reconstruct Itinerary,Graph2,Hard,0.6,False,49.42,0.6,0.7109,0.7,1000,0.6,0.6,0.65,0.6,0.6,0.65,0.6,0.65,0.6,0.6,0.65,0.65,0.6,0.6,0.6,0.65,0.6,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
15,0,Expert,random_baseline,120,Coin Change,1DDP,Medium,0.6,False,37.29,0.6,0.9094,0.7,1000,0.6,0.6,0.65,0.6,0.6,0.65,0.6,0.65,0.6,0.6,0.65,0.65,0.6,0.6,0.6,0.65,0.6,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
16,0,Expert,random_baseline,102,Course Schedule II,Graph,Medium,0.6,True,27.32,0.65,0.7694,0.7,1000,0.6,0.6,0.65,0.6,0.6,0.65,0.6,0.65,0.6,0.6,0.65,0.65,0.65,0.6,0.6,0.65,0.6,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
17,0,Expert,random_baseline,23,Search A 2D Matrix,Binary Search,Medium,0.6,False,28.26,0.6,0.8653,0.7,1000,0.6,0.6,0.65,0.6,0.6,0.65,0.6,0.65,0.6,0.6,0.65,0.65,0.65,0.6,0.6,0.65,0.6,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
18,0,Expert,random_baseline,130,Interleaving String,2DDP,Medium,0.65,True,34.31,0.7,0.6896,0.7,1000,0.6,0.6,0.65,0.6,0.6,0.65,0.6,0.65,0.6,0.6,0.65,0.65,0.65,0.6,0.6,0.7,0.6,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
19,0,Expert,random_baseline,139,Reverse Bits,Bit Manipulation,Easy,0.6,True,9.69,0.65,0.988,0.7,1000,0.6,0.6,0.65,0.6,0.6,0.65,0.6,0.65,0.6,0.6,0.65,0.65,0.65,0.6,0.6,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
20,0,Expert,random_baseline,30,Longest Substring Without Repeating Characters,Sliding Window,Medium,0.6,False,29.95,0.6,0.6896,0.7,1000,0.6,0.6,0.65,0.6,0.6,0.65,0.6,0.65,0.6,0.6,0.65,0.65,0.65,0.6,0.6,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
21,0,Expert,random_baseline,131,Longest Increasing Path in a Matrix,2DDP,Hard,0.7,False,46.58,0.7,0.6896,0.7,1000,0.6,0.6,0.65,0.6,0.6,0.65,0.6,0.65,0.6,0.6,0.65,0.65,0.65,0.6,0.6,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
22,0,Expert,random_baseline,85,Minimum interval to include each query,Intervals,Hard,0.65,False,55.27,0.65,0.9069,0.7,1000,0.6,0.6,0.65,0.6,0.6,0.65,0.6,0.65,0.6,0.6,0.65,0.65,0.65,0.6,0.6,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
23,0,Expert,random_baseline,138,Counting Bits,Bit Manipulation,Easy,0.65,False,18.27,0.65,0.988,0.7,1000,0.6,0.6,0.65,0.6,0.6,0.65,0.6,0.65,0.6,0.6,0.65,0.65,0.65,0.6,0.6,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
24,0,Expert,random_baseline,8,Valid Sudoku,Arrays and Hashing,Medium,0.6,True,25.12,0.65,0.9137,0.7,1000,0.65,0.6,0.65,0.6,0.6,0.65,0.6,0.65,0.6,0.6,0.65,0.65,0.65,0.6,0.6,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
25,0,Expert,random_baseline,39,Remove Nth Node From End Of List,Linked List,Medium,0.65,False,33.72,0.65,0.7982,0.7,1000,0.65,0.6,0.65,0.6,0.6,0.65,0.6,0.65,0.6,0.6,0.65,0.65,0.65,0.6,0.6,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
26,0,Expert,random_baseline,110,Swim in Rising Water,Graph2,Hard,0.6,False,60,0.6,0.7109,0.7,1000,0.65,0.6,0.65,0.6,0.6,0.65,0.6,0.65,0.6,0.6,0.65,0.65,0.65,0.6,0.6,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
27,0,Expert,random_baseline,77,Palindrome Partitioning,Backtracking,Medium,0.6,True,27.34,0.65,0.8372,0.7,1000,0.65,0.6,0.65,0.6,0.6,0.65,0.6,0.65,0.6,0.65,0.65,0.65,0.65,0.6,0.6,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
28,0,Expert,random_baseline,71,Subsets,Backtracking,Medium,0.65,True,32.67,0.7,0.8372,0.7,1000,0.65,0.6,0.65,0.6,0.6,0.65,0.6,0.65,0.6,0.7,0.65,0.65,0.65,0.6,0.6,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
29,0,Expert,random_baseline,114,Min Cost Climbing Stairs,1DDP,Easy,0.6,True,10.28,0.65,0.9094,0.7,1000,0.65,0.6,0.65,0.6,0.6,0.65,0.6,0.65,0.6,0.7,0.65,0.65,0.65,0.6,0.65,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
30,0,Expert,random_baseline,72,Combination Sum,Backtracking,Medium,0.7,True,28.67,0.75,0.8372,0.7,1000,0.65,0.6,0.65,0.6,0.6,0.65,0.6,0.65,0.6,0.75,0.65,0.65,0.65,0.6,0.65,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
31,0,Expert,random_baseline,58,Construct Binary Tree from Preorder and Inorder Traversal,Tree,Medium,0.6,True,32.36,0.65,0.8378,0.7,1000,0.65,0.6,0.65,0.6,0.6,0.65,0.65,0.65,0.6,0.75,0.65,0.65,0.65,0.6,0.65,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
32,0,Expert,random_baseline,7,Product of Array Except Self,Arrays and Hashing,Medium,0.65,False,27.07,0.65,0.9137,0.7,1000,0.65,0.6,0.65,0.6,0.6,0.65,0.65,0.65,0.6,0.75,0.65,0.65,0.65,0.6,0.65,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
33,0,Expert,random_baseline,79,N-Queens,Backtracking,Hard,0.75,True,53.4,0.8,0.8372,0.7,1000,0.65,0.6,0.65,0.6,0.6,0.65,0.65,0.65,0.6,0.8,0.65,0.65,0.65,0.6,0.65,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
34,0,Expert,random_baseline,48,Diameter of Binary Tree,Tree,Easy,0.65,True,10.93,0.7,0.8378,0.7,1000,0.65,0.6,0.65,0.6,0.6,0.65,0.7,0.65,0.6,0.8,0.65,0.65,0.65,0.6,0.65,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
35,0,Expert,random_baseline,101,Course Schedule,Graph,Medium,0.65,False,37.71,0.65,0.7694,0.7,1000,0.65,0.6,0.65,0.6,0.6,0.65,0.7,0.65,0.6,0.8,0.65,0.65,0.65,0.6,0.65,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
36,0,Expert,random_baseline,95,Max Area of Island,Graph,Medium,0.65,False,28.92,0.65,0.7694,0.7,1000,0.65,0.6,0.65,0.6,0.6,0.65,0.7,0.65,0.6,0.8,0.65,0.65,0.65,0.6,0.65,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
37,0,Expert,random_baseline,78,Letter Combinations of a Phone Number,Backtracking,Medium,0.8,False,28.27,0.8,0.8372,0.7,1000,0.65,0.6,0.65,0.6,0.6,0.65,0.7,0.65,0.6,0.8,0.65,0.65,0.65,0.6,0.65,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
38,0,Expert,random_baseline,6,Encode and Decode Strings,Arrays and Hashing,Medium,0.65,False,29.45,0.65,0.9137,0.7,1000,0.65,0.6,0.65,0.6,0.6,0.65,0.7,0.65,0.6,0.8,0.65,0.65,0.65,0.6,0.65,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
39,0,Expert,random_baseline,105,Redundant Connection,Graph,Medium,0.65,True,34.86,0.7,0.7694,0.7,1000,0.65,0.6,0.65,0.6,0.6,0.65,0.7,0.65,0.6,0.8,0.65,0.65,0.7,0.6,0.65,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
40,0,Expert,random_baseline,28,Median of Two Sorted Arrays,Binary Search,Hard,0.6,True,44.15,0.65,0.8653,0.7,1000,0.65,0.6,0.65,0.6,0.65,0.65,0.7,0.65,0.6,0.8,0.65,0.65,0.7,0.6,0.65,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
41,0,Expert,random_baseline,37,Linked List Cycle,Linked List,Easy,0.65,True,16.18,0.7,0.7982,0.7,1000,0.65,0.6,0.65,0.6,0.65,0.7,0.7,0.65,0.6,0.8,0.65,0.65,0.7,0.6,0.65,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
42,0,Expert,random_baseline,47,Maximum Depth of Binary Tree,Tree,Easy,0.7,True,8.07,0.75,0.8378,0.7,1000,0.65,0.6,0.65,0.6,0.65,0.7,0.75,0.65,0.6,0.8,0.65,0.65,0.7,0.6,0.65,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
43,0,Expert,random_baseline,46,Invert Binary Tree,Tree,Easy,0.75,True,10.24,0.8,0.8378,0.7,1000,0.65,0.6,0.65,0.6,0.65,0.7,0.8,0.65,0.6,0.8,0.65,0.65,0.7,0.6,0.65,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
44,0,Expert,random_baseline,75,Subsets II,Backtracking,Medium,0.8,True,21.26,0.85,0.8372,0.7,1000,0.65,0.6,0.65,0.6,0.65,0.7,0.8,0.65,0.6,0.85,0.65,0.65,0.7,0.6,0.65,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
45,0,Expert,random_baseline,6,Encode and Decode Strings,Arrays and Hashing,Medium,0.65,True,35.5,0.7,0.9137,0.7,1000,0.7,0.6,0.65,0.6,0.65,0.7,0.8,0.65,0.6,0.85,0.65,0.65,0.7,0.6,0.65,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
46,0,Expert,random_baseline,106,Word Latter,Graph,Hard,0.7,False,57.52,0.7,0.7694,0.7,1000,0.7,0.6,0.65,0.6,0.65,0.7,0.8,0.65,0.6,0.85,0.65,0.65,0.7,0.6,0.65,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
47,0,Expert,random_baseline,49,Balanced Binary Tree,Tree,Easy,0.8,True,11.07,0.85,0.8378,0.7,1000,0.7,0.6,0.65,0.6,0.65,0.7,0.85,0.65,0.6,0.85,0.65,0.65,0.7,0.6,0.65,0.7,0.65,0.6,0.9137,0.8009,0.8696,0.6896,0.8653,0.7982,0.8378,0.8315,0.8081,0.8372,0.9069,0.805,0.7694,0.7109,0.9094,0.6896,0.988,0.8151
