step,agent_id,agent_profile,agent_type,problem_id,problem_title,problem_category,problem_difficulty,agent_skill_before,solved,time_taken,agent_skill_after,recommender_reward,interleaving_factor,total_attempts_recommender,agent_skill_Arrays_and_Hashing,agent_skill_Two_Pointers,agent_skill_Stack,agent_skill_Sliding_Window,agent_skill_Binary_Search,agent_skill_Linked_List,agent_skill_Tree,agent_skill_Tries,agent_skill_Heap_/_Priority_Queue,agent_skill_Backtracking,agent_skill_Intervals,agent_skill_Greedy,agent_skill_Graph,agent_skill_Graph2,agent_skill_1DDP,agent_skill_2DDP,agent_skill_Bit_Manipulation,agent_skill_Math,recommender_reward_Arrays_and_Hashing,recommender_reward_Two_Pointers,recommender_reward_Stack,recommender_reward_Sliding_Window,recommender_reward_Binary_Search,recommender_reward_Linked_List,recommender_reward_Tree,recommender_reward_Tries,recommender_reward_Heap_/_Priority_Queue,recommender_reward_Backtracking,recommender_reward_Intervals,recommender_reward_Greedy,recommender_reward_Graph,recommender_reward_Graph2,recommender_reward_1DDP,recommender_reward_2DDP,recommender_reward_Bit_Manipulation,recommender_reward_Math
1,0,Expert,recommender,10,Valid Palindrome,Two Pointers,Easy,0.6,True,9.86,0.65,1.0,0.31,1,0.6,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0,Expert,recommender,13,Container With Most Water,Two Pointers,Medium,0.65,False,35.56,0.65,0.92,0.32,2,0.6,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.0,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0,Expert,recommender,15,Valid Parentheses,Stack,Easy,0.6,True,7.73,0.65,1.0,0.33,3,0.6,0.65,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.0,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0,Expert,recommender,1,Contains Duplicate,Arrays and Hashing,Easy,0.6,True,10.35,0.65,1.0,0.34,4,0.65,0.65,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.0,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0,Expert,recommender,29,Best Time To Buy and Sell Stock,Sliding Window,Easy,0.6,True,9.93,0.65,1.0,0.35,5,0.65,0.65,0.65,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.0,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0,Expert,recommender,19,Daily Temperatures,Stack,Medium,0.65,False,37.09,0.65,0.92,0.36,6,0.65,0.65,0.65,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.0,0.92,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0,Expert,recommender,31,Longest Repeating Character Replacement,Sliding Window,Medium,0.65,True,26.52,0.7,0.98,0.37,7,0.65,0.65,0.65,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.0,0.92,0.92,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,Expert,recommender,32,Permutation in String,Sliding Window,Medium,0.7,True,35.98,0.75,0.962,0.38,8,0.65,0.65,0.65,0.75,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.0,0.92,0.92,0.962,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0,Expert,recommender,30,Longest Substring Without Repeating Characters,Sliding Window,Medium,0.75,True,22.49,0.8,0.9458,0.39,9,0.65,0.65,0.65,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.0,0.92,0.92,0.9458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0,Expert,recommender,3,Two Sum,Arrays and Hashing,Easy,0.65,True,11.48,0.7,1.0,0.4,10,0.7,0.65,0.65,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.0,0.92,0.92,0.9458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0,Expert,recommender,22,Binary Search,Binary Search,Easy,0.6,False,19.49,0.6,0.94,0.41,11,0.7,0.65,0.65,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.0,0.92,0.92,0.9458,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,0,Expert,recommender,20,Car Fleet,Stack,Medium,0.65,False,34.3,0.65,0.848,0.42,12,0.7,0.65,0.65,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.0,0.92,0.848,0.9458,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0,Expert,recommender,2,Valid Anagram,Arrays and Hashing,Easy,0.7,True,9.04,0.75,1.0,0.43,13,0.75,0.65,0.65,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.0,0.92,0.848,0.9458,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,0,Expert,recommender,7,Product of Array Except Self,Arrays and Hashing,Medium,0.75,True,24.96,0.8,0.98,0.44,14,0.8,0.65,0.65,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.98,0.92,0.848,0.9458,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0,Expert,recommender,4,Group Anagrams,Arrays and Hashing,Medium,0.8,True,34.85,0.85,0.962,0.45,15,0.85,0.65,0.65,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.962,0.92,0.848,0.9458,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,0,Expert,recommender,9,Longest Consecutive Sequence,Arrays and Hashing,Medium,0.85,True,22.69,0.9,0.9458,0.46,16,0.9,0.65,0.65,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.9458,0.92,0.848,0.9458,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,0,Expert,recommender,34,Sliding Window Maximum,Sliding Window,Hard,0.8,False,55.65,0.8,0.8712,0.47,17,0.9,0.65,0.65,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.9458,0.92,0.848,0.8712,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,0,Expert,recommender,5,Top K Frequent Elements,Arrays and Hashing,Medium,0.9,True,15.95,0.95,0.9512,0.48,18,0.95,0.65,0.65,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.9512,0.92,0.848,0.8712,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,0,Expert,recommender,33,Minimum Window Substring,Sliding Window,Hard,0.8,False,58.04,0.8,0.8041,0.49,19,0.95,0.65,0.65,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.9512,0.92,0.848,0.8041,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,0,Expert,recommender,6,Encode and Decode Strings,Arrays and Hashing,Medium,0.95,True,16.44,1.0,0.9561,0.5,20,1.0,0.65,0.65,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.9561,0.92,0.848,0.8041,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,0,Expert,recommender,22,Binary Search,Binary Search,Easy,0.6,True,11.02,0.65,0.946,0.51,21,1.0,0.65,0.65,0.8,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.9561,0.92,0.848,0.8041,0.946,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,0,Expert,recommender,24,Koko Eating Bananas,Binary Search,Medium,0.65,False,31.4,0.65,0.8714,0.52,22,1.0,0.65,0.65,0.8,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.9561,0.92,0.848,0.8041,0.8714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,0,Expert,recommender,8,Valid Sudoku,Arrays and Hashing,Medium,1.0,True,20.55,1.0,0.9405,0.53,23,1.0,0.65,0.65,0.8,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.9405,0.92,0.848,0.8041,0.8714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,0,Expert,recommender,37,Linked List Cycle,Linked List,Easy,0.6,True,8.26,0.65,1.0,0.54,24,1.0,0.65,0.65,0.8,0.65,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.9405,0.92,0.848,0.8041,0.8714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,0,Expert,recommender,125,Unique Paths,2DDP,Medium,0.6,True,25.71,0.65,0.98,0.55,25,1.0,0.65,0.65,0.8,0.65,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.65,0.6,0.6,0.9405,0.92,0.848,0.8041,0.8714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0
